LEA,charter_status,LEA Name,KIND,1,2,3,4,5,6,7,8,9,10,11,12,13,XG,XDY6,XDY7,XDY8,XDY9,XDY10,XDY11,XDY12,XDY13,Total
 010 , Traditional , Alamance-Burlington Schools ," 1,640 "," 1,542 "," 1,703 "," 1,565 "," 1,662 "," 1,656 "," 1,654 "," 1,696 "," 1,730 "," 2,133 "," 1,964 "," 1,706 "," 1,403 ",,26,,,,,,,,,"22,080"
 020 , Traditional , Alexander County Schools , 315 , 295 , 308 , 292 , 297 , 352 , 328 , 323 , 356 , 384 , 343 , 361 , 284 ,,3,,,,,,,,,"4,241"
 030 , Traditional , Alleghany County Schools , 109 , 86 , 106 , 97 , 99 , 100 , 102 , 104 , 107 , 97 , 99 , 113 , 94 ,,,,,,,,,,,"1,313"
 040 , Traditional , Anson County Schools , 218 , 242 , 241 , 197 , 231 , 216 , 224 , 199 , 231 , 274 , 244 , 184 , 171 ,10,,,,,,,,,,"2,882"
 050 , Traditional , Ashe County Schools , 164 , 191 , 177 , 203 , 162 , 210 , 208 , 194 , 221 , 223 , 228 , 237 , 186 ,6,,,,,,,,,,"2,610"
 060 , Traditional , Avery County Schools , 139 , 133 , 166 , 95 , 126 , 131 , 139 , 128 , 128 , 136 , 154 , 138 , 142 ,,6,,,,,,,,,"1,761"
 070 , Traditional , Beaufort County Schools , 407 , 402 , 390 , 346 , 392 , 389 , 447 , 469 , 442 , 533 , 456 , 473 , 402 ,27,,,,,,,,,,"5,575"
 080 , Traditional , Bertie County Schools , 116 , 122 , 135 , 109 , 121 , 112 , 111 , 141 , 122 , 167 , 144 , 131 , 129 ,,2,,,,,,,,,"1,662"
 090 , Traditional , Bladen County Schools , 294 , 292 , 253 , 261 , 263 , 270 , 255 , 251 , 305 , 381 , 335 , 343 , 284 ,1,6,,,,,,,,,"3,794"
 100 , Traditional , Brunswick County Schools , 895 , 934 , 970 , 905 , 928 , 966 , 970 ," 1,012 "," 1,041 "," 1,356 "," 1,169 "," 1,070 ", 802 ,25,17,,,,,,,,,"13,060"
